Year,Category,Entries
2009,Aged Beer,32
2009,American Style Amber Lager,45
2009,American Style Amber/Red Ale,78
2009,American Style Brown Ale,43
2009,American Style Light Lager,25
2009,American Style Pale Ale,108
2009,American Style Specialty Lager,23
2009,American-Belgo-Style Ale,51
2009,American-Style Cream Ale or Lager,24
2009,American-Style Dark Lager,15
2009,American-Style India Pale Ale,134
2009,American-Style Lager or Premium Lager,34
2009,American-Style Sour Ale,32
2009,American-Style Stout,22
2009,American-Style Strong Pale Ale,70
2009,American-Style Wheat Beer,19
2009,American-Style Wheat Beer With Yeast,43
2009,Baltic-Style Porter,16
2009,Barley Wine Style Ale,54
2009,Belgian and French-Style Ale,41
2009,Belgian Style Strong Specialty Ale,70
2009,Belgian-Style Abbey Ale,58
2009,Belgian-Style Lambic or Sour Ale,29
2009,Belgian-Style Witbier,53
2009,Bock,40
2009,Bohemian Style Pilsener,39
2009,Brown Porter,38
2009,Classic English Style Pale Ale,33
2009,Classic Irish Style Dry Stout,19
2009,Coffee Flavored Beer,45
2009,Dortmunder or German-Style Oktoberfest,20
2009,English Style Brown Ale,41
2009,English Style Mild Ale,17
2009,English-Style India Pale Ale,40
2009,English-Style Summer Ale,33
2009,European Style Dunkel,21
2009,Experimental Beer,32
2009,Extra Special Bitter or Strong Bitter,47
2009,Foreign Style Stout,20
2009,French- and Belgian Style Saison,56
2009,Fruit Beer or Field Beer,104
2009,German Style Altbier,35
2009,German Style Doppelbock or Eisbock,21
2009,German Style Kölsch,43
2009,German Style Märzen,45
2009,German Style Schwarzbier,34
2009,German-Style Pilsener,48
2009,German-Style Sour Ale,13
2009,German-Style Wheat Ale,38
2009,Gluten Free Beer,10
2009,Golden or Blonde Ale,43
2009,Herb and Spice or Chocolate Beer,85
2009,Imperial India Pale Ale,77
2009,Imperial Red Ale,36
2009,Imperial Stout,56
2009,International-Style Pilsener,13
2009,Irish Style Red Ale,32
2009,Kellerbier/Zwickelbier,27
2009,Munich Style Helles,31
2009,Oatmeal Stout,31
2009,Old Ale or Strong Ale,29
2009,Ordinary or Special Bitter,45
2009,Other Strong Beer,44
2009,Out of Category – Traditionally Brewed Beer,82
2009,Robust Porter,57
2009,Rye Beer,21
2009,Scotch Ale,37
2009,Scottish Style Ale,29
2009,Session Beer,27
2009,Smoked Beer,43
2009,South German Style Hefeweizen,66
2009,Specialty Beer,21
2009,Specialty Honey Beer,36
2009,Sweet Stout,27
2009,Vienna Style Lager,25
2009,Wood- and Barrel-Aged Beer,33
2009,Wood- and Barrel-Aged Sour Beer,45
2009,Wood- and Barrel-Aged Strong Beer,110
2010,Aged Beer,30
2010,American-Belgo-Style Ale,47
2010,American-Style Amber Lager,39
2010,American-Style Amber/Red Ale,83
2010,American-Style Brown Ale,47
2010,American-Style Dark Lager,20
2010,American-Style India Black Ale,53
2010,American-Style India Pale Ale,142
2010,American-Style Lager or Light Lager,53
2010,American-Style or International-Style Pilsener,27
2010,American-Style Pale Ale,109
2010,American-Style Sour Ale,39
2010,American-Style Specialty Lager or Cream Ale,42
2010,American-Style Stout,27
2010,American-Style Strong Pale Ale,84
2010,American-Style Wheat Beer,23
2010,American-Style Wheat Beer With Yeast,43
2010,Baltic-Style Porter,21
